"","Language","Subscription.Type","Subscription.Event.Type","Purchase.Store","Purchase.Amount","Currency","Demo.User","Free.Trial.User","Auto.Renew","Country","User.Type","Lead.Platform","Email.Subscriber","Push.Notifications","Send.Count","Open.Count","Click.Count","Unique.Open.Count","Unique.Click.Count","Dollar_val","sub_len_mnth","cluster"
"13036","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,6.46428571428571,5
"30968","DEU","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","Europe","Consumer","Web","No","Yes",2,2,2,1,1,0,3.28571428571429,1
"19952","JPN","Limited","INITIAL_PURCHASE","Web",39,"EUR","Yes","No","On","Europe","Consumer","App","Yes","Yes",3,0,0,0,0,46.41,3.28571428571429,1
"27152","ESP","Limited","RENEWAL","App",NA,"NULL","No","Yes","On","US/Canada","Consumer","App","Yes","Yes",13,3,0,1,0,0,12.0714285714286,2
"14068","ESP","Limited","INITIAL_PURCHASE","Web",149.5,"USD","No","No","Off","US/Canada","Other","Web","Yes","Yes",NA,NA,NA,NA,NA,149.5,26.1071428571429,5
"12233","ESP","Limited","RENEWAL","Web",79,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",104,0,0,0,0,79,13,5
"17928","FRA","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",38,0,0,0,0,0,6.46428571428571,4
"3751","ITA","Limited","INITIAL_PURCHASE","Web",0,"USD","Yes","No","Off","US/Canada","Consumer","App","No","Yes",20,6,1,5,1,0,13.0357142857143,5
"28441","ESP","Lifetime","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","No","Yes",1,0,0,0,0,0,1027.46428571429,2
"19414","ESC","Limited","INITIAL_PURCHASE","Web",65.94,"USD","No","No","Off","Other","Other","Unknown","No","No",6,0,0,0,0,65.94,6.57142857142857,4
"6223","FRA","Limited","RENEWAL","Web",79,"USD","No","Yes","Off","US/Canada","Consumer","Web","Yes","Yes",106,17,5,4,1,79,6.67857142857143,5
"21455","EBR","Limited","INITIAL_PURCHASE","Web",13.94,"EUR","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,16.5886,26.1071428571429,4
"17599","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","No","No","Off","Other","Other","Unknown","No","No",6,0,0,0,0,199,1028.28571428571,4
