Language,Subscription.Type,Subscription.Event.Type,Purchase.Store,Purchase.Amount,Currency,Demo.User,Free.Trial.User,Auto.Renew,Country,User.Type,Lead.Platform,Email.Subscriber,Push.Notifications,Send.Count,Open.Count,Click.Count,Unique.Open.Count,Unique.Click.Count,Dollar_val,sub_len_mnth,cluster
ITA,Limited,INITIAL_PURCHASE,Web,38.22,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,17,1,0,1,0,38.22,3.214285714,2
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,23,22,0,4,0,199,1028.75,4
ITA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,46,0,0,0,0,0,3.178571429,4
ALL,Lifetime,INITIAL_PURCHASE,Web,204.12,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,8,0,0,0,0,204.12,1030.5,4
ESP,Limited,RENEWAL,Web,79,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,9,7,0,2,0,79,6.535714286,2
ALL,Lifetime,INITIAL_PURCHASE,Web,212.13,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,14,6,0,3,0,212.13,1027.821429,4
ESP,Limited,INITIAL_PURCHASE,Web,126.44,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,5,4,0,3,0,126.44,6.642857143,4
ALL,Lifetime,INITIAL_PURCHASE,Web,212.93,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,6,0,0,0,0,212.93,1028.25,4
ESP,Limited,RENEWAL,Web,79,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,5,2,0,1,0,79,9.928571429,4
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0,0,3.285714286,4
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,14,0,0,0,0,35.97,3.214285714,2
ALL,Lifetime,INITIAL_PURCHASE,Web,218.9,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,55,7,3,3,1,218.9,1027.678571,4
ALL,Lifetime,INITIAL_PURCHASE,Web,201.76,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,236,176,16,68,4,201.76,1028.178571,2
CHI,Limited,INITIAL_PURCHASE,Web,65.94,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,96,81,13,28,3,65.94,13.07142857,2
ALL,Lifetime,INITIAL_PURCHASE,Web,189.84,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,8,3,0,1,0,189.84,1028.142857,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,144,19,6,11,3,199,1027.785714,2
ITA,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,0,3.285714286,4
FRA,Lifetime,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,6,6,0,1,0,0,1043.25,4
ALL,Lifetime,INITIAL_PURCHASE,Web,205.3,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,28,17,1,8,1,205.3,1030.321429,4
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0,0,13.03571429,4
